Model,Accuracy,Precision,Recall,F1 Score
GradientBoostingClassifier,0.6,0.5939531546167796,0.6,0.5779815205646145
KNeighborsClassifier,0.597,0.5933560708234435,0.597,0.5885355014030563
LinearSVC,0.595,0.5865265925331499,0.595,0.5708059795901861
RandomForestClassifier,0.593,0.6044328416486412,0.593,0.5481483024470781
CNN,0.56,0.5512017822390658,0.56,0.5189047700300069
